Date,Daily_Total,Week_No,ID
2024-08-15,7383,33,228
2024-08-16,18315,33,229
2024-08-17,57235,33,230
2024-08-18,7526,33,231
2024-08-19,6825,34,232
2024-08-20,13887,34,233
2024-08-21,14989,34,234
2024-08-22,15068,34,235
2024-08-23,13995,34,236
2024-08-24,8343,34,237
2024-08-25,10804,34,238
2024-08-26,11268,35,239
2024-08-27,16338,35,240
2024-08-28,13274,35,241
2024-08-29,15116,35,242
2024-08-30,14723,35,243
2024-08-31,14379,35,244
2024-09-01,13827,35,245
2024-09-02,16565,36,246
2024-09-03,15224,36,247
2024-09-04,17120,36,248
2024-09-05,14916,36,249
2024-09-06,15624,36,250
2024-09-07,15650,36,251
2024-09-08,5707,36,252
2024-09-09,14735,37,253
2024-09-10,9189,37,254
2024-09-11,6732,37,255
2024-09-12,11590,37,256
2024-09-13,15540,37,257
2024-09-14,31883,37,258
2024-09-15,7335,37,259
2024-09-16,13741,38,260
2024-09-17,13524,38,261
2024-09-18,12393,38,262
2024-09-19,14810,38,263
2024-09-20,17238,38,264
2024-09-21,5574,38,265
2024-09-22,3509,38,266
2024-09-23,5360,39,267
2024-09-24,10819,39,268
2024-09-25,4825,39,269
2024-09-26,7819,39,270
2024-09-27,16566,39,271
2024-09-28,14104,39,272
2024-09-29,5485,39,273
2024-09-30,5907,40,274
2024-10-01,3246,40,275
2024-10-02,11444,40,276
2024-10-03,14064,40,277
2024-10-04,11133,40,278
2024-10-05,12156,40,279
2024-10-06,5759,40,280
2024-10-07,9421,41,281
2024-10-08,12417,41,282
2024-10-09,11019,41,283
2024-10-10,13132,41,284
2024-10-11,18971,41,285
2024-10-12,8115,41,286
2024-10-13,13616,41,287
2024-10-14,15271,42,288
2024-10-15,13727,42,289
2024-10-16,13752,42,290
2024-10-17,15281,42,291
2024-10-18,13267,42,292
2024-10-19,15796,42,293
2024-10-20,13989,42,294
2024-10-21,13785,43,295
2024-10-22,14029,43,296
2024-10-23,15583,43,297
2024-10-24,15978,43,298
2024-10-25,10327,43,299
2024-10-26,14078,43,300
2024-10-27,33960,43,301
2024-10-28,14138,44,302
2024-10-29,13737,44,303
2024-10-30,15584,44,304
2024-10-31,12791,44,305
2024-11-01,16155,44,306
2024-11-02,23755,44,307
2024-11-03,7924,44,308
2024-11-04,9667,45,309
2024-11-05,14100,45,310
2024-11-06,17307,45,311
2024-11-07,14217,45,312
2024-11-08,13861,45,313
2024-11-09,15442,45,314
2024-11-10,15509,45,315
2024-11-11,13929,46,316
2024-11-12,14192,46,317
2024-11-13,19420,46,318
2024-11-14,15492,46,319
2024-11-15,17312,46,320
2024-11-16,5424,46,321
2024-11-17,6411,46,322
2024-11-18,5792,47,323
2024-11-19,12370,47,324
2024-11-20,15791,47,325
2024-11-21,15258,47,326
2024-11-22,19085,47,327
2024-11-23,4781,47,328
2024-11-24,3477,47,329
2024-11-25,12406,48,330
2024-11-26,18619,48,331
2024-11-27,19756,48,332
2024-11-28,14390,48,333
2024-11-29,16188,48,334
2024-11-30,14027,48,335
2024-12-01,5388,48,336
2024-12-02,4734,49,337
2024-12-03,13769,49,338
2024-12-04,17792,49,339
2024-12-05,12342,49,340
2024-12-06,21691,49,341
2024-12-07,12235,49,342
2024-12-08,3302,49,343
2024-12-09,7616,50,344
2024-12-10,12791,50,345
2024-12-11,18157,50,346
2024-12-12,7622,50,347
2024-12-13,16591,50,348
2024-12-14,20894,50,349
2024-12-15,5935,50,350
2024-12-16,7515,51,351
2024-12-17,17297,51,352
2024-12-18,22974,51,353
2024-12-19,8342,51,354
2024-12-20,6901,51,355
2024-12-21,7287,51,356
2024-12-22,3435,51,357
2024-12-23,10285,52,358
2024-12-24,16863,52,359
2024-12-25,5518,52,360
2024-12-26,3466,52,361
2024-12-27,5324,52,362
2024-12-28,15690,52,363
2024-12-29,10027,52,364
2024-12-30,20079,53,365
2024-12-31,5079,53,366
